"Rownames.Meanphenodata","Collector.Collection.Number","Longitude","Latitude","Altitude","Phenotypic.Group","Uncertainty","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
142,"YAM_207",-74.25862,4.20215,3865,2,4.63924454408016e-11,1.37004361873213,-0.385886348282131,-0.33448311505263,-0.0449550979717484,-0.441550972831767,0.0707378192864199,0.422112921476815,0.430291680510904,-0.0860089692941306,-0.447901523295609,-0.0379631237459989,-0.186474273997373
153,"YAM_218",-74.28663,4.2177,3568,2,0.0107308993798698,-1.04844654596719,0.308111382753216,0.153474752336894,-0.307446585283174,-0.229403860324331,0.151954124760019,0.0362165936854327,0.0467831438270705,-0.289744176632533,-0.10997834890391,-0.0049161772215667,0.204081641561888
155,"YAM_220",-74.28622,4.21838,3579,5,5.50861578574313e-11,1.57139950708178,-0.25120884217585,0.205127732713216,0.178655044120243,-0.44290773469755,-0.485842296640477,0.476781287076547,-0.173540238716531,0.142464111864194,0.0745792226545586,0.0245698963171865,0.0185636765675232
157,"YAM_222",-74.28622,4.21838,3579,2,0.00181687231771432,-0.624891632693915,0.481282364321069,-0.546964791135001,0.649054694103543,0.265718367665222,0.075217864682549,0.0215164285227884,-0.109295455574212,0.0207279095063165,-0.026637639179145,0.327100199076074,0.0572825923557639
173,"YAM_238",-74.25562,4.21633,3684,2,8.35429235819252e-05,-0.567189831489126,0.15024832719141,-0.081465927519473,0.0867011108831511,-0.276149443280076,0.0726645377537728,0.213502623601053,-0.344976825052226,-0.00597233021497119,0.205369504027594,0.0506790006494814,-0.258854013395372
181,"YAM_246",-74.26377,4.20047,3871,2,0.00334278690931689,-0.343713752582612,0.527215697925352,-0.499579874686731,0.11540554319001,-0.224532415447199,-0.116216338415679,-0.289126633278956,0.0567859759707623,-0.206325622937309,-0.263764187665557,0.134224500150404,-0.0292132458070581
182,"YAM_247",-74.26378,4.20004,3861,2,1.25012430661764e-05,-0.147708527873733,-0.0585747908606499,-0.584210275246138,-0.00739716166254664,-0.0190566879616353,0.161158360042032,-0.341260036835222,-0.112255669393166,0.240833352415154,-0.00904846463068657,0.0100900799532589,0.0363039275111356
186,"YAM_251",-74.26497,4.20034,3888,2,2.58836882827129e-06,-0.508095158196601,0.705675322109574,-0.710665518339213,1.0780797543395,-0.722688674004711,-0.138057330277825,-0.180139504618967,0.0558242268065751,0.125311336629432,-0.112899514697319,-0.0846024920994139,-0.105730389330566
188,"YAM_253",-74.27158,4.19747,3886,2,0.000356518038168385,-0.582949997039835,0.628103300704502,-0.340322035682716,0.824104474739839,0.0716808366642198,-0.237909678467919,-0.158040742688176,0.123170324888302,0.139812372007008,-0.152760100661923,-0.114215000835889,-0.159939228737602
190,"YAM_255",-74.27725,4.19965,3823,2,1.48704778408781e-05,-0.436319110580933,0.0275411091310526,-0.979596741423673,0.48311526736207,-0.209074471485444,0.344373510828031,-0.121472003550286,-0.161985972370654,0.0824166014490795,0.142986576832349,-0.180192505592802,0.00247719241147317
194,"YAM_259",-74.28397,4.20249,3715,5,8.57684367971956e-10,1.56567908875184,-0.37577913270719,0.0667694143293605,0.941928786796991,-0.168049523655005,-0.275238411332927,0.432868669109364,-0.249143211627217,0.0745019255999032,-0.0645142574060492,-0.052395176287503,-0.0941456409807127
195,"YAM_260",-74.28168,4.20643,3670,5,5.34198685286924e-10,1.7731608959276,-0.428859775552455,0.308817170724875,0.498743660805985,-0.509222743340952,-0.0783793900742539,0.35260722601407,-0.121602321676729,0.00462596065193826,0.27077705854202,0.0796646508465178,0.00430185298302417
