"Collector.Collection.Number","Collector","Collection.Number","Longitude","Latitude","Altitude","Length.Lamina","Width.Lamina","Length.Synflorescence.Axis","Perimeter.Synflorescence.Axis","Number.Pairs.Sterile.Leaves.Per.Synflorescence","Number.Capitula.Per.Synflorescence","Length.Cyme.Peduncle","Diameter.Capitulum","Length.Sterile.Phyllary","Width.Sterile.Phyllary","Length.Ray.Flower.Corolla","Length.Disc.Flower.Corolla","Length.Disc.Flower.Tube","Type.Taxa","Cited.Cuatrecasas.Monograph.Taxa"
"YAM_127","Pineda Yam","127",-74.19337,4.24357,3675,34,2,83.3333333333333,2.06666666666667,1,13,2.88333333333333,2.25,9.58333333333333,5.14333333333333,9.77666666666667,NA,NA,NA,NA
"YAM_128","Pineda Yam","128",-74.19766,4.24696,3859,36.237,6.40166666666667,89,3.2,3,9.66666666666667,3.89833333333333,2.6875,NA,NA,NA,NA,NA,NA,NA
"YAM_129","Pineda Yam","129",-74.19766,4.24696,3859,25.075,2.02266666666667,70.5,2.86666666666667,1.5,18,2.94666666666667,2.3525,NA,NA,NA,NA,NA,NA,NA
"YAM_130","Pineda Yam","130",-74.19714,4.24616,3806,NA,NA,55,1.46666666666667,0.5,6.66666666666667,2.83666666666667,2.1525,NA,NA,NA,NA,NA,NA,NA
"YAM_131","Pineda Yam","131",-74.19714,4.24616,3806,23.2303333333333,1.62466666666667,68.8333333333333,2,1,17.6666666666667,2.41166666666667,2.115,NA,NA,NA,NA,NA,NA,NA
"YAM_132","Pineda Yam","132",-74.19508,4.24602,3707,24.8745,3.2385,96.5,2.25,1,10,4.675,1.9525,NA,NA,NA,NA,NA,NA,NA
"YAM_133","Pineda Yam","133",-74.19508,4.24602,3707,25.3703333333333,2.93266666666667,55.75,2.7,0,20,2.62666666666667,1.95,NA,NA,NA,NA,NA,NA,NA
"YAM_134","Pineda Yam","134",-74.1955,4.2447,3744,25.5875,4.9565,71,2.76666666666667,0,12,5.342,2.6925,NA,NA,NA,NA,NA,NA,NA
"YAM_135","Pineda Yam","135",-74.1955,4.2447,3744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_136","Pineda Yam","136",-74.19781,4.23979,3591,21.028,3.499,95.6666666666667,2.7,0.5,20.6666666666667,2.64666666666667,1.9525,NA,NA,NA,NA,NA,NA,NA
"YAM_137","Pineda Yam","137",-74.19781,4.23979,3591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_138","Pineda Yam","138",-74.20696,4.24682,3704,36.4085,3.9375,75,3.83333333333333,0,9.66666666666667,5.35333333333333,3.8425,NA,NA,NA,NA,NA,NA,NA
"YAM_139","Pineda Yam","139",-74.20696,4.24682,3704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_140","Pineda Yam","140",-74.20685,4.24694,3705,NA,NA,81.3333333333333,2.5,0.5,17.6666666666667,3.12166666666667,1.8725,NA,NA,NA,NA,NA,NA,NA
"YAM_141","Pineda Yam","141",-74.20685,4.24694,3705,NA,NA,54.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_141A","Pineda Yam","141A",-74.20708,4.2469,3704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_142A","Pineda Yam","142A",-74.22195,4.28279,3919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_142","Pineda Yam","142",-74.22195,4.28279,3919,36.989,3.057,50,2.43333333333333,0,5,2.82666666666667,3.89,NA,NA,NA,NA,NA,NA,NA
"YAM_143","Pineda Yam","143",-74.20708,4.2469,3704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_144","Pineda Yam","144",-74.18777,4.24311,3518,33.8435,3.23433333333333,67.3333333333333,2.73333333333333,1,18.3333333333333,3.78333333333333,2.45,NA,NA,NA,NA,NA,NA,NA
"YAM_145","Pineda Yam","145",-74.18777,4.24311,3518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_146","Pineda Yam","146",-74.18771,4.24129,3515,34.8635,3.243,87.3333333333333,1.9,1.5,13.3333333333333,1.14333333333333,1.9975,14.7566666666667,5.23,13.7266666666667,5.8,1.42666666666667,NA,NA
"YAM_147","Pineda Yam","147",-74.18771,4.24129,3515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_148","Pineda Yam","148",-74.19337,4.24357,3675,NA,NA,80.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_149","Pineda Yam","149",-74.18398,4.22056,3625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_150","Pineda Yam","150",-74.18385,4.22058,3625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_151","Pineda Yam","151",-74.18385,4.22058,3625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_152","Pineda Yam","152",-74.18391,4.22064,3624,29.918,3.873,70.6666666666667,1.66666666666667,1.5,8.66666666666667,2.76666666666667,1.6125,11.7466666666667,4.72333333333333,7.2,5.88333333333333,1.97333333333333,NA,NA
"YAM_153","Pineda Yam","153",-74.1839,4.22054,3622,31.6876666666667,1.72366666666667,119.333333333333,2,2,25,5.41166666666667,1.61,NA,NA,NA,NA,NA,NA,NA
"YAM_154","Pineda Yam","154",-74.1839,4.22054,3622,26.6316666666667,2.546,63.3333333333333,2.43333333333333,1,9,7.46333333333333,1.975,NA,NA,NA,NA,NA,NA,NA
"YAM_155","Pineda Yam","155",-74.1839,4.22054,3622,29.389,2.25466666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_156","Pineda Yam","156",-74.1839,4.22054,3600,21.1706666666667,2.08266666666667,57.25,1.1,1.5,12,1.85666666666667,1.096,5.47333333333333,3.03333333333333,3.16,3.71333333333333,1.57333333333333,NA,NA
"YAM_157","Pineda Yam","157",-74.1839,4.22054,3600,28.0116666666667,2.93633333333333,73.3333333333333,2.56666666666667,2,14,4.075,1.5125,5.85666666666667,4.15666666666667,9.50666666666667,5.69333333333333,1.86666666666667,NA,NA
"YAM_158","Pineda Yam","158",-74.20647,4.22127,3766,23.7563333333333,3.28933333333333,63.5,1.6,1,6.66666666666667,3.96333333333333,1.7525,NA,NA,NA,NA,NA,NA,NA
"YAM_159","Pineda Yam","159",-74.20648,4.22128,3766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_160","Pineda Yam","160",-74.20466,4.22014,3755,22.12,2.73466666666667,57,1.83333333333333,0,17.6666666666667,2.04666666666667,1.8075,NA,NA,NA,NA,NA,NA,NA
"YAM_161","Pineda Yam","161",-74.1839,4.22014,3755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_162","Pineda Yam","162",-74.20089,4.22297,3802,35.7926666666667,5.45266666666667,62,2.16666666666667,4.5,8.66666666666667,2.26166666666667,2.3,NA,NA,NA,NA,NA,NA,NA
